	doc_id	doc_key	doc_title	doc_country	doc_province	doc_points	doc_price	doc_content	doc_original	doc_variety	doc_taster	doc_place	token_count	doc_sentiment_polarity	doc_sentiment_subjectivity	doc_price_log	doc_points_cat	bbi
23	23	23	 Bianchi 2011 Signature Selection Merlot (Paso Robles) Signature Selection (Merlot) by Matt Kettmann	US	California	87	22	This wine from the Geneseo district offers aromas of sour plums and just enough cigar box to tempt the nose. The flavors are a bit flat at first, then the acidity and tension of sour cherries emerges in the midpalate, bolstered by some black licorice.	This wine from the Geneseo district offers aromas of sour plums and just enough cigar box to tempt the nose. The flavors are a bit flat at first, then the acidity and tension of sour cherries emerges in the midpalate, bolstered by some black licorice.	Merlot	Matt Kettmann	US California Paso Robles Central Coast	24	0	0.23	3.091042453358316	87	3.9545454545454546
25	25	25	 Castello di Amorosa 2011 King Ridge Vineyard Pinot Noir (Sonoma Coast) King Ridge Vineyard (Pinot Noir) by Virginie Boone	US	California	87	69	Oak and earth intermingle around robust aromas of wet forest floor in this vineyard-designated Pinot that hails from a high-elevation site. Small in production, it offers intense, full-bodied raspberry and blackberry steeped in smoky spice and smooth texture.	Oak and earth intermingle around robust aromas of wet forest floor in this vineyard-designated Pinot that hails from a high-elevation site. Small in production, it offers intense, full-bodied raspberry and blackberry steeped in smoky spice and smooth texture.	Pinot Noir	Virginie Boone	US California Sonoma Coast Sonoma	25	0	0.48	4.234106505	87	1.2608695652173914
26	26	26	 Stemmari 2013 Dalila White (Terre Siciliane) Dalila (White Blend) by Kerin O’Keefe	Italy	Sicily & Sardinia	87	13	Pretty aromas of yellow flower and stone fruit lead the nose. The bright palate offers yellow apple, apricot, vanilla and delicate notes of lightly toasted oak alongside crisp acidity.	Pretty aromas of yellow flower and stone fruit lead the nose. The bright palate offers yellow apple, apricot, vanilla and delicate notes of lightly toasted oak alongside crisp acidity.	White Blend	Kerin O’Keefe	Italy Sicily & Sardinia Terre Siciliane 	22	0.2	0.48	2.5649493574615367	87	6.6923076923076925
28	28	28	 Terre di Giurfo 2011 Mascaria Barricato  (Cerasuolo di Vittoria) Mascaria Barricato (Red Blend) by Kerin O’Keefe	Italy	Sicily & Sardinia	87	17	Aromas suggest mature berry, scorched earth, animal, toast and anise. The palate offers ripe black berry, oak, espresso, cocoa and vanilla alongside dusty tannins.	Aromas suggest mature berry, scorched earth, animal, toast and anise. The palate offers ripe black berry, oak, espresso, cocoa and vanilla alongside dusty tannins.	Red Blend	Kerin O’Keefe	Italy Sicily & Sardinia Cerasuolo di Vittoria 	20	-0.1	0.28	2.833213344056216	87	5.117647058823529
35	35	35	 Erath 2010 Hyland Pinot Noir (McMinnville) Hyland (Pinot Noir) by Paul Gregutt	US	Oregon	86	50	As with many of the Erath 2010 vineyard designates, this is strongly herbal. The notes of leaf and herb create somewhat unripe flavor impressions, with a touch of bitterness on the finish. The fruit just passes the ripeness of sweet tomatoes.	As with many of the Erath 2010 vineyard designates, this is strongly herbal. The notes of leaf and herb create somewhat unripe flavor impressions, with a touch of bitterness on the finish. The fruit just passes the ripeness of sweet tomatoes.	Pinot Noir	Paul Gregutt	US Oregon McMinnville Willamette Valley	22	0.4	0.63	3.912023005428146	86	1.72
41	41	41	 Hawkins Cellars 2009 Pinot Noir (Willamette Valley)  (Pinot Noir) by Paul Gregutt	US	Oregon	86	22	A stiff, tannic wine, this slowly opens and brings brambly berry flavors into play, along with notes of earthy herbs. There's a touch of bitterness to the tannins.	A stiff, tannic wine, this slowly opens and brings brambly berry flavors into play, along with notes of earthy herbs. There's a touch of bitterness to the tannins.	Pinot Noir	Paul Gregutt	US Oregon Willamette Valley Willamette Valley	16	-0.3	0.45	3.091042453358316	86	3.909090909090909
44	44	44	 Sundance 2011 Merlot (Maule Valley)  (Merlot) by Michael Schachner	Chile	Maule Valley	86	9	A berry aroma comes with cola and herb notes. The palate is tangy and racy, and it delivers raspberry and plum flavors, with a modest finish.	A berry aroma comes with cola and herb notes. The palate is tangy and racy, and it delivers raspberry and plum flavors, with a modest finish.	Merlot	Michael Schachner	Chile Maule Valley  	14	0.1	0.9	2.1972245773362196	86	9.555555555555555
56	56	56	 Souverain 2010 Chardonnay (North Coast)  (Chardonnay) by Virginie Boone	US	California	85	14	This is weighty, creamy and medium to full in body. It has plenty of lime and pear flavors, plus slight brown sugar and vanilla notes.	This is weighty, creamy and medium to full in body. It has plenty of lime and pear flavors, plus slight brown sugar and vanilla notes.	Chardonnay	Virginie Boone	US California North Coast North Coast	15	0.1	0.36	2.6390573296152584	85	6.071428571428571
58	58	58	 Tres Palacios 2011 Reserve Pinot Noir (Maipo Valley) Reserve (Pinot Noir) by Michael Schachner	Chile	Maipo Valley	85	13	Lightly herbal strawberry and raspberry aromas are authentic and fresh. On the palate, this is light and juicy, with snappy, lean flavors of red fruit and dry spice. The finish is dry and oaky.	Lightly herbal strawberry and raspberry aromas are authentic and fresh. On the palate, this is light and juicy, with snappy, lean flavors of red fruit and dry spice. The finish is dry and oaky.	Pinot Noir	Michael Schachner	Chile Maipo Valley  	19	0.2	0.55	2.5649493574615367	85	6.538461538461538
59	59	59	 Mellisoni 2014 Malbec (Columbia Valley (WA))  (Malbec) by Sean P. Sullivan	US	Washington	86	55	Aromas of cranberry, barrel spice and herb are followed by tart cranberry flavors with grainy tannins. It falls a bit flat and the variety seems hard to discern.	Aromas of cranberry, barrel spice and herb are followed by tart cranberry flavors with grainy tannins. It falls a bit flat and the variety seems hard to discern.	Malbec	Sean P. Sullivan	US Washington Columbia Valley (WA) Columbia Valley	18	-0.2	0.33	4.007333185232471	86	1.5636363636363635
60	60	60	 Okapi 2013 Estate Cabernet Sauvignon (Napa Valley) Estate (Cabernet Sauvignon) by Virginie Boone	US	California	86	100	Syrupy and dense, this wine is jammy in plum and vanilla, with indeterminate structure and plenty of oak. Ripe and full-bodied, it has accents of graphite and leather.	Syrupy and dense, this wine is jammy in plum and vanilla, with indeterminate structure and plenty of oak. Ripe and full-bodied, it has accents of graphite and leather.	Cabernet Sauvignon	Virginie Boone	US California Napa Valley Napa	14	-0.1	0.6	4.605170185988092	86	0.86
61	61	61	 Podere dal Nespoli 2015 Prugneto Sangiovese (Romagna) Prugneto (Sangiovese) by Kerin O’Keefe	Italy	Central Italy	86	17	This densely hued wine has aromas of black plum and vanilla that carry over to the simple palate along with a touch of cedar. Pliant tannins give it an easygoing nature. Drink soon.	This densely hued wine has aromas of black plum and vanilla that carry over to the simple palate along with a touch of cedar. Pliant tannins give it an easygoing nature. Drink soon.	Sangiovese	Kerin O’Keefe	Italy Central Italy Romagna 	17	-0.1	0.4	2.833213344056216	86	5.0588235294117645
62	62	62	 Ram 2014 Alder Ridge Vineyard Cabernet Franc (Columbia Valley (WA)) Alder Ridge Vineyard (Cabernet Franc) by Sean P. Sullivan	US	Washington	86	25	The aromas are brooding, with notes of barrel spice and cherry. The flavors are tart and elegant in style, with lightly gritty tannins backing them up. Best suited to the dinner table.	The aromas are brooding, with notes of barrel spice and cherry. The flavors are tart and elegant in style, with lightly gritty tannins backing them up. Best suited to the dinner table.	Cabernet Franc	Sean P. Sullivan	US Washington Columbia Valley (WA) Columbia Valley	18	0.5	0.68	3.218875824868201	86	3.44
63	63	63	 Roland Champion NV Brut Rosé  (Champagne) Brut Rosé (Champagne Blend) by Roger Voss	France	Champagne	86	58	This fat, yeasty Champagne is comprised predominantly of Pinot Noir. It has ripe red berry fruit, light acidity and a soft, creamy aftertaste. It's ready to drink.	This fat, yeasty Champagne is comprised predominantly of Pinot Noir. It has ripe red berry fruit, light acidity and a soft, creamy aftertaste. It's ready to drink.	Champagne Blend	Roger Voss	France Champagne Champagne 	16	0.2	0.39	4.060443010546419	86	1.4827586206896552
64	64	64	 Sevtap 2015 Golden Horn Sauvignon Blanc (Santa Ynez Valley) Golden Horn (Sauvignon Blanc) by Matt Kettmann	US	California	86	26	There are intriguing touches to the nose of this bottling, with jasmine, sea salt, wet hay, quinine and rainy sidewalk. The structure on the sip is quite delicate, with golden apple and honey flavors.	There are intriguing touches to the nose of this bottling, with jasmine, sea salt, wet hay, quinine and rainy sidewalk. The structure on the sip is quite delicate, with golden apple and honey flavors.	Sauvignon Blanc	Matt Kettmann	US California Santa Ynez Valley Central Coast	20	0.1	0.55	3.258096538021482	86	3.3076923076923075
65	65	65	 Simonnet-Febvre 2015  Chablis  (Chardonnay) by Roger Voss	France	Burgundy	86	24	From the warm 2015 vintage, this is a soft and fruity wine. It's open with broad white fruit flavors, the acidity lighter than usual for Chablis, giving it a particularly ripe character. Drink now.	From the warm 2015 vintage, this is a soft and fruity wine. It's open with broad white fruit flavors, the acidity lighter than usual for Chablis, giving it a particularly ripe character. Drink now.	Chardonnay	Roger Voss	France Burgundy Chablis 	17	0.1	0.34	3.1780538303479458	86	3.5833333333333335
66	66	66	 Vignerons des Terres Secrètes 2015  Mâcon-Milly Lamartine  (Chardonnay) by Roger Voss	France	Burgundy	86	15	This soft, rounded wine is ripe with generous pear and melon flavors. It's easy and ready to drink young for its smooth, attractively ripe character.	This soft, rounded wine is ripe with generous pear and melon flavors. It's easy and ready to drink young for its smooth, attractively ripe character.	Chardonnay	Roger Voss	France Burgundy Mâcon-Milly Lamartine 	13	0.3	0.6	2.708050201	86	5.733333333333333
67	67	67	 Basel Cellars 2013 Inspired Red (Columbia Valley (WA)) Inspired (Bordeaux-style Red Blend) by Sean P. Sullivan	US	Washington	86	46	A blend of Merlot and Cabernet Franc, this wine brings disjointed lightly volatile aromas of wood spice, vanilla and cherry. The plump cherry flavors are rounded out by woody barrel notes.	A blend of Merlot and Cabernet Franc, this wine brings disjointed lightly volatile aromas of wood spice, vanilla and cherry. The plump cherry flavors are rounded out by woody barrel notes.	Bordeaux-style Red Blend	Sean P. Sullivan	US Washington Columbia Valley (WA) Columbia Valley	20	0.4	0.7	3.828641396489095	86	1.8695652173913044
68	68	68	 Cocobon 2014 Red (California)  (Red Blend) by Jim Gordon	US	California	86	12	Very deep in color and spicy-smoky in flavor, this full-bodied wine is packed with dark-fruit flavors like blackberry and blueberry. Aromas like grilled beef and spicy flavors like cardamom and smoke give it a bold character that's hard to deny.	Very deep in color and spicy-smoky in flavor, this full-bodied wine is packed with dark-fruit flavors like blackberry and blueberry. Aromas like grilled beef and spicy flavors like cardamom and smoke give it a bold character that's hard to deny.	Red Blend	Jim Gordon	US California California California Other	22	0	0.58	2.4849066497880004	86	7.166666666666667
69	69	69	 Collet NV Brut Rosé  (Champagne) Brut Rosé (Champagne Blend) by Roger Voss	France	Champagne	86	55	This cooperative, based in Aÿ, has benefited from the fine Pinot Noir in the village to produce a ripe red fruited wine. With balanced acidity and a soft aftertaste, it is ready to drink.	This cooperative, based in Aÿ, has benefited from the fine Pinot Noir in the village to produce a ripe red fruited wine. With balanced acidity and a soft aftertaste, it is ready to drink.	Champagne Blend	Roger Voss	France Champagne Champagne 	15	0.2	0.34	4.007333185232471	86	1.5636363636363635
70	70	70	 Drumheller 2014 Chardonnay (Columbia Valley (WA))  (Chardonnay) by Sean P. Sullivan	US	Washington	86	12	Aromas of vanilla, char and toast lead to light creamy stone fruit and canned-corn flavors. It provides appeal but the oak seems overweighted.	Aromas of vanilla, char and toast lead to light creamy stone fruit and canned-corn flavors. It provides appeal but the oak seems overweighted.	Chardonnay	Sean P. Sullivan	US Washington Columbia Valley (WA) Columbia Valley	16	0.4	0.7	2.4849066497880004	86	7.166666666666667
71	71	71	 Eco Terreno 2013 Old Vine Cabernet Sauvignon (Alexander Valley) Old Vine (Cabernet Sauvignon) by Virginie Boone	US	California	86	40	Big oak defines this robustly dense and extracted red, swimming in vanilla and cherry flavor. Full-bodied and gravelly in texture, it's a rustically pleasant wine for pizza nights and crowds.	Big oak defines this robustly dense and extracted red, swimming in vanilla and cherry flavor. Full-bodied and gravelly in texture, it's a rustically pleasant wine for pizza nights and crowds.	Cabernet Sauvignon	Virginie Boone	US California Alexander Valley Sonoma	19	0.2	0.42	3.688879454113936	86	2.15
73	73	73	 Hindsight 2013 Bella Vetta Vineyard Cabernet Sauvignon (Howell Mountain) Bella Vetta Vineyard (Cabernet Sauvignon) by Virginie Boone	US	California	86	75	Juicy plum, raspberry and pencil lead lead the way in this vineyard designate, a site that's 2,000 feet high. Tobacco and cedar meet a full-bodied hit of oak and puckering tannin, the wine still youthfully wrapped in its full-bodied boldness.	Juicy plum, raspberry and pencil lead lead the way in this vineyard designate, a site that's 2,000 feet high. Tobacco and cedar meet a full-bodied hit of oak and puckering tannin, the wine still youthfully wrapped in its full-bodied boldness.	Cabernet Sauvignon	Virginie Boone	US California Howell Mountain Napa	25	0	0.58	4.317488114	86	1.1466666666666667
75	75	75	 Mulvane Wine Co. 2013 The Cypher Red (Napa Valley) The Cypher (Bordeaux-style Red Blend) by Virginie Boone	US	California	86	75	This is made from equal parts Cabernet Franc and Merlot, with small additions of Malbec. Juicy, it reveals a raisiny quality of ripeness around integrated oak and generous tannin.	This is made from equal parts Cabernet Franc and Merlot, with small additions of Malbec. Juicy, it reveals a raisiny quality of ripeness around integrated oak and generous tannin.	Bordeaux-style Red Blend	Virginie Boone	US California Napa Valley Napa	18	-0.1	0.33	4.317488114	86	1.1466666666666667
76	76	76	 Schmitt Söhne 2015 Riesling (Rheinhessen)  (Riesling) by Anna Lee C. Iijima	Germany	Rheinhessen	86	9	Earthy pollen and mineral notes lend a savory tone to this medium-sweet Riesling. It's soft and slightly pulpy, intensified by overripe tangerine and stone fruit flavors. Drink now through 2018.	Earthy pollen and mineral notes lend a savory tone to this medium-sweet Riesling. It's soft and slightly pulpy, intensified by overripe tangerine and stone fruit flavors. Drink now through 2018.	Riesling	Anna Lee C. Iijima	Germany Rheinhessen  	18	0	0.26	2.1972245773362196	86	9.555555555555555
77	77	77	 Yalumba 2016 Made With Organic Grapes Chardonnay (South Australia) Made With Organic Grapes (Chardonnay) by Joe Czerwinski	Australia	South Australia	86	18	This medium-bodied Chardonnay features aromas of pineapple and roasted cashew. Similar notes of ripe pineapple and nuts mark the palate, then ease to a rather soft, easy finish. Drink now.	This medium-bodied Chardonnay features aromas of pineapple and roasted cashew. Similar notes of ripe pineapple and nuts mark the palate, then ease to a rather soft, easy finish. Drink now.	Chardonnay	Joe Czerwinski	Australia South Australia South Australia 	18	0.2	0.53	2.8903717578961645	86	4.777777777777778
78	78	78	 Z'IVO 2015 Rosé of Pinot Noir (Eola-Amity Hills) Rosé of (Pinot Noir) by Paul Gregutt	US	Oregon	86	25	Some rosés are made simply by bleeding the juice from the fermenter, to concentrate the remaining wine. Whether or not that is the case here, the wine has the simple pleasant lightly candied strawberry flavors one might expect from such a technique. It's fruity and undemanding. Drink up.	Some rosés are made simply by bleeding the juice from the fermenter, to concentrate the remaining wine. Whether or not that is the case here, the wine has the simple pleasant lightly candied strawberry flavors one might expect from such a technique. It's fruity and undemanding. Drink up.	Pinot Noir	Paul Gregutt	US Oregon Eola-Amity Hills Willamette Valley	22	0.2	0.58	3.218875824868201	86	3.44
83	83	83	 Mitolo 2016 Jester Sangiovese Rosé (McLaren Vale) Jester Sangiovese (Rosé) by Joe Czerwinski	Australia	South Australia	86	20	Pale copper in hue, this wine exudes passion fruit on the nose, while the palate delivers nuances of muskmelon as well. It's crisp, racy and medium in body, perfectly suited to summertime refreshment. Drink now.	Pale copper in hue, this wine exudes passion fruit on the nose, while the palate delivers nuances of muskmelon as well. It's crisp, racy and medium in body, perfectly suited to summertime refreshment. Drink now.	Rosé	Joe Czerwinski	Australia South Australia McLaren Vale 	18	0.3	0.53	2.995732273553991	86	4.3
84	84	84	 Napa Cellars 2014 Classic Zinfandel (Napa Valley) Classic (Zinfandel) by Virginie Boone	US	California	86	24	A healthy addition of 13% Petite Sirah provides added weight and intensity to this wine, a soft, supple and richly conceived combination of smoky black fruit and mocha.	A healthy addition of 13% Petite Sirah provides added weight and intensity to this wine, a soft, supple and richly conceived combination of smoky black fruit and mocha.	Zinfandel	Virginie Boone	US California Napa Valley Napa	17	0.2	0.51	3.1780538303479458	86	3.5833333333333335
85	85	85	 P.J. Valckenberg 2015 Undone Dry Riesling (Rheinhessen) Undone Dry (Riesling) by Anna Lee C. Iijima	Germany	Rheinhessen	86	10	Pronounced dust, pollen and earth tones lend savoriness to this otherwise citrusy wine. Racy acidity and fresh tangerine and lemon flavors turn herbal on the finish. Drink now.	Pronounced dust, pollen and earth tones lend savoriness to this otherwise citrusy wine. Racy acidity and fresh tangerine and lemon flavors turn herbal on the finish. Drink now.	Riesling	Anna Lee C. Iijima	Germany Rheinhessen  	18	0.3	0.5	2.302585092994046	86	8.6
87	87	87	 Passaggio 2014 Blau Vineyards Merlot (Knights Valley) Blau Vineyards (Merlot) by Virginie Boone	US	California	86	55	Softened tannins surround a light-bodied, lean and herbal approach to this vineyard-designate, dotted in black pepper, leather and baked cherry.	Softened tannins surround a light-bodied, lean and herbal approach to this vineyard-designate, dotted in black pepper, leather and baked cherry.	Merlot	Virginie Boone	US California Knights Valley Sonoma	14	-0.2	0.43	4.007333185232471	86	1.5636363636363635
90	90	90	 Ferrari-Carano 2014 Siena Red (Sonoma County) Siena (Red Blend) by Virginie Boone	US	California	88	23	This blend of Sangiovese, Malbec, Cabernet Sauvignon, Petite Sirah and other varieties plays well to type. It shows a wealth of ripe, dusty black fruit that's richly round and soft on the palate, approachable and lightly oaked.	This blend of Sangiovese, Malbec, Cabernet Sauvignon, Petite Sirah and other varieties plays well to type. It shows a wealth of ripe, dusty black fruit that's richly round and soft on the palate, approachable and lightly oaked.	Red Blend	Virginie Boone	US California Sonoma County Sonoma	22	-0.1	0.48	3.1354942159291497	88	3.8260869565217392
91	91	91	 Folie à Deux 2015 Pinot Gris (Sonoma Coast)  (Pinot Gris) by Virginie Boone	US	California	88	18	This wine has a touch of perceptible sweetness on its tropical nose, yet tastes dry, showing a straightforward approach to this crisp, coastal-grown variety. Apricot, melon and guava wrap around a lightness of body and texture.	This wine has a touch of perceptible sweetness on its tropical nose, yet tastes dry, showing a straightforward approach to this crisp, coastal-grown variety. Apricot, melon and guava wrap around a lightness of body and texture.	Pinot Gris	Virginie Boone	US California Sonoma Coast Sonoma	20	0.2	0.46	2.8903717578961645	88	4.888888888888889
93	93	93	 Fuchs 2015 Grüner Veltliner (Burgenland)  (Grüner Veltliner) by Anne Krebiehl MW	Austria	Burgenland	88	12	Freshness characterizes the nose: green pear, ivy leaves and citrus notes play on nose and palate. This is light footed, easy drinking and charming. Drink soon while flavors are fresh.	Freshness characterizes the nose: green pear, ivy leaves and citrus notes play on nose and palate. This is light footed, easy drinking and charming. Drink soon while flavors are fresh.	Grüner Veltliner	Anne Krebiehl MW	Austria Burgenland  	19	0.3	0.67	2.4849066497880004	88	7.333333333333333
97	97	97	 Heron Hill 2015 Ingle Vineyard Riesling (Finger Lakes) Ingle Vineyard (Riesling) by Anna Lee C. Iijima	US	New York	88	20	A wisp of bramble extends a savory tone from nose to finish on this otherwise bright bristling wine. Delicate honey tones register as off dry on the palate but balance neatly alongside flavors of freshly pressed apples and pears. The finish is marked by a touch of pencil lead. Drink now through 2020.	A wisp of bramble extends a savory tone from nose to finish on this otherwise bright bristling wine. Delicate honey tones register as off dry on the palate but balance neatly alongside flavors of freshly pressed apples and pears. The finish is marked by a touch of pencil lead. Drink now through 2020.	Riesling	Anna Lee C. Iijima	US New York Finger Lakes Finger Lakes	28	0.1	0.68	2.995732273553991	88	4.4
98	98	98	 Serpaia di Endrizzi 2010 Dono Riserva  (Morellino di Scansano) Dono Riserva (Sangiovese) by Kerin O’Keefe	Italy	Tuscany	88	30	Forest floor, menthol, espresso, cranberry and pressed violet aromas take shape in the glass. The lean linear palate shows dried sour cherry, licorice and coffee bean alongside assertive close-grained tannins. Even though the tannins are still firm, drink sooner rather than later to capture the remaining fruit.	Forest floor, menthol, espresso, cranberry and pressed violet aromas take shape in the glass. The lean linear palate shows dried sour cherry, licorice and coffee bean alongside assertive close-grained tannins. Even though the tannins are still firm, drink sooner rather than later to capture the remaining fruit.	Sangiovese	Kerin O’Keefe	Italy Tuscany Morellino di Scansano 	35	-0.1	0.28	3.4011973816621555	88	2.933333333333333
